input,output
"त्यस दिन पुलाव, खिर आदि बनिएको थियो।","त्यस् दिन् पुलाव्‌, खिर् आदि बनिएको थियो।"
खुशबूकी प्रथम शिक्षिका पनि नयाँ वर्षको शुभकामना दिन आइपुगिछन्।,खुश्‌बूकी प्रथम् शिक्षिका पनि नयाँ वर्षको शुभकाम्‌ना दिन आइपुगिछन्।
मिसलाई आफ्नै हातले ख्वाउँछु।,मिस्‌लाई आफ्नै हात्‌ले ख्वाउँछु।
चिया-चमेना आफै लगेर दिइन्।,चिया-चमेना आफै लगेर दिइन्।
त्यसपछि उनकी मिस विदा भइन्।,त्यस्‌पछि उन्‌की मिस् विदा भइन्।
"खुशबू आफ्ना दुइ भाइसित हाँस्दै, खेल्दै अमर चित्र कथा पढ्दै थिइन्।","खुश्‌बू आफ्ना दुइ भाइसित हाँस्दै, खेल्दै अमर् चित्र कथा पढ्दै थिइन्।"
उनका हातमा कवि गुरु रवीन्द्रनाथ ठाकुरको जीवनी सम्बन्धी पुस्तिका थियो।,उन्‌का हात्‌मा कवि गुरु रवीन्द्रनाथ् ठाकुर्‌को जीवनी सम्बन्धी पुस्तिका थियो।
यत्तिकैमा तेजीका पति बाहिरबाट आइपुगे।,यत्तिकैमा तेजीका पति बाहिरबाट आइपुगे।
ऊ चुल्हैमा व्यस्त थिई।,ऊ चुल्हैमा व्यस्त थिई।
"छोरी त हठात् बेहोस भएर बोल्नै नसक्ने स्थितिमा विस्तरामा पल्टेकी, छेउमा कमिक।","छोरी त हठात् बेहोस् भएर बोल्नै नसक्ने स्थितिमा विस्तरामा पल्टेकी, छेउमा कमिक्।"
जिब्रो लट्याङग्रिएको !,जिब्रो लट्याङ्‌ग्रिएको !
छेवैमा छिमेकीको नर्सिङहोम थियो।,छेवैमा छिमेकीको नर्सिङ्‌होम् थियो।
श्रीमान्-श्रीमती दुवै डाक्टर।,श्रीमान्-श्रीमती दुवै डाक्टर्।
श्रीमती कुदेर आइन्।,श्रीमती कुदेर आइन्।
खुशबूको अचनाक त्यो अवस्था देख्दा उनी साह्रै खिन्‍न भइन्।,खुश्‌बूको अचनाक् त्यो अवस्था देख्दा उनी साह्रै खिन्‍न भइन्।
खुशबूसित उनको अर्कै सम्बन्ध थियो।,खुश्‌बूसित उन्‌को अर्कै सम्बन्ध थियो।
उनको त्यस बेला एउटै छोरो मात्र थियो।,उन्‌को त्यस् बेला एउटै छोरो मात्र थियो।
"खुशबूलाई बराबर आफ्नो घरमा बोलाउने, छोरी जस्तै स्नेह गर्ने!","खुश्‌बूलाई बराबर् आफ्नो घर्‌मा बोलाउने, छोरी जस्तै स्नेह गर्ने!"
उनी बिहानै उठेर छप्परमा गएर पहिला डाक्टर आन्टीलाई ‘गुड मानिङ’ नभनी मुखसम्म नधुने!,उनी बिहानै उठेर छप्पर्‌मा गएर पहिला डाक्टर् आन्टीलाई ‘गुड् मानिङ्’ नभनी मुख्‌सम्म नधुने!
खुशबूको यस्तो अवस्था देखी तुरुन्त आफ्ना पतिलाई फोन गरेर बोलाइन्।,खुश्‌बूको यस्तो अवस्था देखी तुरुन्त आफ्ना पतिलाई फोन् गरेर बोलाइन्।
एक छिनमा उनी आइपुगे।,एक् छिन्‌मा उनी आइपुगे।
आएर पनि यसै भएको हो भनी किटान गरेरे केही भन्‍न सकेनन्।,आएर पनि यसै भएको हो भनी किटान् गरेरे केही भन्‍न सकेनन्।
उनले अरू डाक्टरहरूलाई पनि फोन गरे।,उन्‌ले अरू डाक्टर्‌हरूलाई पनि फोन् गरे।
"साँझसम्म पाँच, छ जना डाक्टरहरू मिलेर खुशबूलाई हेरे।","साँझसम्म पाँच्, छ जना डाक्टर्‌हरू मिलेर खुश्‌बूलाई हेरे।"
यस बेलासम्म उनको देब्रे अङ्‌ग नचल्ने भइसकेको रहेछ।,यस् बेलासम्म उन्‌को देब्रे अङ्‌ग नचल्ने भइसकेको रहेछ।
उनले पिसाब गर्ने इच्छा गरेर उठ्न खोजिन् तर देब्रे गोडो टेकिएन।,उन्‌ले पिसाब् गर्ने इच्छा गरेर उठ्न खोजिन् तर देब्रे गोडो टेकिएन।
बडो मुस्किलसँग बोकेर पुर्‍याइयो।,बडो मुस्किल्‌सँग बोकेर पुर्‍याइयो।
नयाँ वर्ष मनाउन पकाएका खाने कुरा चुल्हामा त्यसै सेलाइरहेको!,नयाँ वर्ष मनाउन पकाएका खाने कुरा चुल्हामा त्यसै सेलाइरहेको!
खुशबूलाई केही नख्वाउने सल्‍लाह डाक्टरले दिए।,खुश्‌बूलाई केही नख्वाउने सल्‍लाह् डाक्टर्‌ले दिए।
तेजीका घरमा अर्को कुरो पनि मानिन्थ्यो।,तेजीका घर्‌मा अर्को कुरो पनि मानिन्थ्यो।
घरका मूल अभिभावकले खाने गरेको थाल बटुकामा अरू कसैलाई खान दिइँदैन थियो।,घर्‌का मूल् अभिभावक्‌ले खाने गरेको थाल् बटुकामा अरू कसैलाई खान दिइँदैन थियो।
आफ्नै छोरा- छोरीलाई पनि दिने चलन  थिएन।,आफ्नै छोरा- छोरीलाई पनि दिने चलन्  थिएन।
"तेजीका पिताको धारणा थियो नानीहरूको जुठो खाए, त्यस घरमा अनुशासन कायम रहँदैन।","तेजीका पिताको धारणा थियो नानीहरूको जुठो खाए, त्यस् घर्‌मा अनुशासन् कायम् रहँदैन।"
जुठो खानाले रोग आदिको कीटाणु पनि  सर्ने सम्भावना हुन्छ।,जुठो खानाले रोग् आदिको कीटाणु पनि  सर्ने सम्भावना हुन्छ।
त्यस घरमा गाई वस्तुलाई पनि  जुठो दिइँदैन थियो।,त्यस् घर्‌मा गाई वस्तुलाई पनि  जुठो दिइँदैन थियो।
"घरमा अनुशासन कायम नरहे, मूल खाँबो दह्रो हुँगैन।","घर्‌मा अनुशासन् कायम् नरहे, मूल् खाँबो दह्रो हुँगैन।"
मूल खाँबो दह्रो नभए घर भत्कने डर हुन्छ।,मूल् खाँबो दह्रो नभए घर् भत्कने डर् हुन्छ।
बाबु-आमा भनेका घरका मूल खाँबा हुन् भनी तेजीका पिता भन्थे।,बाबु-आमा भनेका घर्‌का मूल् खाँबा हुन् भनी तेजीका पिता भन्थे।
यी मानव–मूल्य बिस्तारै हराउँदै गएका छन्।,यी मानव्–मूल्य बिस्तारै हराउँदै गएका छन्।
आजका घरहरूमा अघि जस्तो अनुशासन कायम छैन।,आज्‌का घर्‌हरूमा अघि जस्तो अनुशासन् कायम् छैन।
"तेजी संयुक्‍त परिवारभित्र हुर्केकी थिई जहाँ एकता, अपन्त्व तथा आपसमा प्रेम र सद्‌भावना थियो।","तेजी संयुक्‍त परिवार्‌भित्र हुर्केकी थिई जहाँ एकता, अपन्त्व तथा आपस्‌मा प्रेम् र सद्‌भावना थियो।"
महिना- महिना दिन बस्ने विद्वान अतिथिहरू सत्सङ्‍गका निम्ति आउँथे।,महिना- महिना दिन् बस्ने विद्वान् अतिथिहरू सत्सङ्‍ग्‌का निम्ति आउँथे।
साधु- सन्तहरू आएर घरबाहिर धुनी जगाएर बस्थे।,साधु- सन्तहरू आएर घर्‌बाहिर धुनी जगाएर बस्थे।
भजन- कीर्तन हुन्थ्यो।,भजन्- कीर्तन् हुन्थ्यो।
यस्तो सुन्दर पारिवारिक वृक्ष तेस्रो पिँढी पुग्दा-नपुग्दा नष्ट भएर गयो!,यस्तो सुन्दर् पारिवारिक् वृक्ष तेस्रो पिँढी पुग्दा-नपुग्दा नष्ट भएर गयो!
पारम्परिक संस्कार हराउँदै गएकोले प्रेमको बन्धन खकुलो हुँदै गएको भान तेजीलाई हुन्थ्यो।,पारम्परिक् संस्कार् हराउँदै गएकोले प्रेम्‌को बन्धन् खकुलो हुँदै गएको भान् तेजीलाई हुन्थ्यो।
उसलाई लाग्थ्यो इमान्दारीले मात्र घरमा आनन्दको राज हुन्छ।,उस्‌लाई लाग्थ्यो इमान्दारीले मात्र घर्‌मा आनन्दको राज् हुन्छ।
अब त सौहार्द्रपूर्ण व्यवहार भएको घर पाउन पनि गाहारो भएको छ।,अब त सौहार्द्रपूर्ण व्यवहार् भएको घर् पाउन पनि गाहारो भएको छ।
घरहरू त धेरै- धेरै भएका छन् तर स्मारक जस्ता मात्र छन्।,घर्‌हरू त धेरै- धेरै भएका छन् तर स्मारक् जस्ता मात्र छन्।
सब आ-आफ्नै स्वार्थ मात्र हेर्छन्- राता रात धनी बनिने सपना सबै देख्छन्।,सब् आ-आफ्नै स्वार्थ मात्र हेर्छन्- राता रात् धनी बनिने सपना सबै देख्छन्।
धेरै उमेरसम्म बाँच्नु पनि परिवारको बोझ जस्तो होइने!,धेरै उमेर्‌सम्म बाँच्नु पनि परिवार्‌को बोझ् जस्तो होइने!
पारिवारिक वृक्षमा बूढाबूढीको ठुलो इज्जत थियो सो हराउँदै गयो।,पारिवारिक् वृक्षमा बूढाबूढीको ठुलो इज्जत् थियो सो हराउँदै गयो।
तेजी अझ गहिरो सोचमा डुब्छे-अतीतलई सम्झँदै।,तेजी अझ गहिरो सोचमा डुब्छे-अतीत्‌लई सम्झँदै।
एक दिन बिहानी पख खुशबूलाई लिएर बाबु आमा दुवै घुम्न निस्केका थिए।,एक् दिन् बिहानी पख खुश्‌बूलाई लिएर बाबु आमा दुवै घुम्न निस्केका थिए।
यो सब निकालेर सफा गर्न पनि त पैसा चाहिन्छ होइन बुबा?’,यो सब् निकालेर सफा गर्न पनि त पैसा चाहिन्छ होइन बुबा?’
यस्तै विगत दिनका यादहरू सँगाल्दै शोकाकुल भएर तेजीका आँखाबाट बलिन्द्र आँसु बग्छन्।,यस्तै विगत् दिन्‌का याद्‌हरू सँगाल्दै शोकाकुल् भएर तेजीका आँखाबाट बलिन्द्र आँसु बग्छन्।
जीवनमा के-के न गरुँला भन्‍ने आकाङ्‍क्षा थिए उसका।,जीवन्‌मा के-के न गरुँला भन्‍ने आकाङ्‍क्षा थिए उस्‌का।
"सपनाका महलहरू धेरै बनिए, भत्किए अनि सबै इच्छाहरू अधुरै रहे, अपूर्ण रहे।","सपनाका महल्‌हरू धेरै बनिए, भत्किए अनि सबै इच्छाहरू अधुरै रहे, अपूर्ण रहे।"
अब ता समयले पनि पर्खेन।,अब ता समय्‌ले पनि पर्खेन।
छोरीलाई कस्ती न बनाउँला भन्‍ने कल्पना थियो।,छोरीलाई कस्ती न बनाउँला भन्‍ने कल्पना थियो।
सो पनि दैवले बिचैमा चुँडे्र लगेकाले साकार हुन पाएन।,सो पनि दैवले बिचैमा चुँडे्र लगेकाले साकार् हुन पाएन।
छोरीले उपयोग गरेका सबै चीजहरू बडो प्यारले सँगालेर राखेकी थिई।,छोरीले उपयोग् गरेका सबै चीज्‌हरू बडो प्यार्‌ले सँगालेर राखेकी थिई।
त्यतिकैमा उ आफ्नो घर जान्छे।,त्यतिकैमा उ आफ्नो घर् जान्छे।
"सायद उनको मनसाय थियो, सधैँ खुशबू चलाएर बस्नू।","सायद् उन्‌को मन्‌साय् थियो, सधैँ खुश्‌बू चलाएर बस्नू।"
दिनहरू बित्न लागे।,दिन्‌हरू बित्न लागे।
दुख र कष्ट भन्‍ने कुरा कुन चरीको नाम हो केही थाहा भएन उसलाई।,दुख र कष्ट भन्‍ने कुरा कुन् चरीको नाम् हो केही थाहा भएन उस्‌लाई।
एक दिन बसेको ठाउँबाट जुरुक्‍क उठ्न खोज्दा उसलाई भनन रिङ्‍गटा लाग्यो।,एक् दिन् बसेको ठाउँबाट जुरुक्‍क उठ्न खोज्दा उस्‌लाई भनन रिङ्‍गटा लाग्यो।
उठी मुस्किलले वाकवाकी लाग्यो।,उठी मुस्किल्‌ले वाक्‌वाकी लाग्यो।
"किन किन अमिलो, पिरोतिर मन असाध्यै लोभिन थाल्यो।","किन किन अमिलो, पिरोतिर मन् असाध्यै लोभिन थाल्यो।"
सबै कुरा एक रात बिछ्यौनामा बसेको बेला आफ्नो पतिलाई सुनाई।,सबै कुरा एक् रात् बिछ्यौनामा बसेको बेला आफ्नो पतिलाई सुनाई।
तिम्रो भनाइअनुसार यस घरमा चाँडै नै एक बालकको पर्दापण हुँदैछ।,तिम्रो भनाइअनुसार् यस् घर्‌मा चाँडै नै एक् बालक्‌को पर्दापण् हुँदैछ।
पतिले अति मायालु पाराले गालामा प्याट हिर्काउदै भन्यो।,पतिले अति मायालु पाराले गालामा प्याट हिर्काउदै भन्यो।
त्यो कुरा सुन्दा विमलालाई पनि असाध्यै खुसी  लाग्यो।,त्यो कुरा सुन्दा विमलालाई पनि असाध्यै खुसी  लाग्यो।
हर्षले मन रमाएर उन्मुक्‍त भयो।,हर्षले मन् रमाएर उन्मुक्‍त भयो।
भगवान्‌सँग बिन्ती गर्छु छोरा जन्मियोस्।,भगवान्‌सँग बिन्ती गर्छु छोरा जन्मियोस्।
छोरा होइन छोरी।,छोरा होइन छोरी।
श्यामले पनि पत्नीसँग जिस्किँदै भन्यो।,श्याम्‌ले पनि पत्नीसँग जिस्किँदै भन्यो।
साह्रै लाडिएर पतिको गाला टोक्दै बोली विमला।,साह्रै लाडिएर पतिको गाला टोक्दै बोली विमला।
यस घरमा ज्योति ल्याउन छोरी चाहिन्छ।,यस् घर्‌मा ज्योति ल्याउन छोरी चाहिन्छ।
छोरी भनेकी लक्ष्मी हो।,छोरी भनेकी लक्ष्मी हो।
छोरी भएपछि यो घरको रूपै फेरिन्छ तिमी हेरी मात्रै राख न।,छोरी भएपछि यो घर्‌को रूपै फेरिन्छ तिमी हेरी मात्रै राख न।
त्यसपछि दुवैको तर्क रोकियो।,त्यस्‌पछि दुवैको तर्क रोकियो।
समयको अन्तरालसँगै ती दुई अनुरागीहरूको दाम्पत्य प्रेम गहिरिँदै गयो।,समय्‌को अन्तराल्‌सँगै ती दुई अनुरागीहरूको दाम्पत्य प्रेम् गहिरिँदै गयो।
सुखपूर्वक जीवन यापन गर्दै रहे।,सुखपूर्वक् जीवन् यापन् गर्दै रहे।
एक दिन विमलाकी वृद्ध आमा परमधाम भएको खबर आयो।,एक् दिन् विमलाकी वृद्ध आमा परम्‌धाम् भएको खबर् आयो।
दिन प्रतिदिन विमलाको जिउ भारी हुँदै गयो।,दिन् प्रतिदिन् विमलाको जिउ भारी हुँदै गयो।
बडो कष्टपूर्ण तरिकाले दिन बित्न थाले।,बडो कष्टपूर्ण तरिकाले दिन् बित्न थाले।
पतिदेव भरसक सर्तक रहन्थे आफ्नी प्राणप्यारी पत्नीलाई कुनै कष्ट नपरोस् भनेर।,पतिदेव् भर्‌सक् सर्तक् रहन्थे आफ्नी प्राण्‌प्यारी पत्नीलाई कुनै कष्ट नपरोस् भनेर।
सानो अति सानो कामसमेत आफै गर्थे।,सानो अति सानो काम्‌समेत् आफै गर्थे।
साँचो अर्थमा विमलालाई दिसा पिसाब गर्नबाहेक अरू बेला बिछ्यौनाबाट ओर्लन नै दिँदैन थिए।,साँचो अर्थमा विमलालाई दिसा पिसाब् गर्नबाहेक् अरू बेला बिछ्यौनाबाट ओर्लन नै दिँदैन थिए।
यो संसारमा म जति भाग्यमानी नारी को होला?,यो संसार्‌मा म जति भाग्यमानी नारी को होला?
भगवान्‌ले यो संसारमा सबै नारीलाई मेरै जस्तो पति दिए यो दुनियाँको रूप कति उज्‍ज्वल हुन्थ्यो होला?,भगवान्‌ले यो संसार्‌मा सबै नारीलाई मेरै जस्तो पति दिए यो दुनियाँको रूप् कति उज्‍ज्वल् हुन्थ्यो होला?
मेरो लाख बिन्ती छ  परम परमेश्‍वर!,मेरो लाख् बिन्ती छ  परम् पर्‌मेश्‍वर्!
मलाई अर्को जन्ममा पनि श्यामकै पत्नी बनाइदेऊ।,मलाई अर्को जन्ममा पनि श्याम्‌कै पत्नी बनाइदेऊ।
यस्तै कल्पना गर्थी ऊ हरेक दिन।,यस्तै कल्पना गर्थी ऊ हरेक् दिन्।
सुख र खुसीले मात्तिएको बेला साह्रै कम मान्छेले ईश्‍वरको पुकारा गर्छन्।,सुख र खुसीले मात्तिएको बेला साह्रै कम् मान्छेले ईश्‍वर्‌को पुकारा गर्छन्।
पति भक्‍ति भन्‍ने कुराको सही अर्थ लगाई उसले।,पति भक्‍ति भन्‍ने कुराको सही अर्थ लगाई उस्‌ले।
त्यसैले ऊ हरेक साधारण नारीभन्दा पृथक छ।,त्यसैले ऊ हरेक् साधारण् नारीभन्दा पृथक् छ।
आदर्श र साक्षात् नारी नमुना थिई ऊ।,आदर्श र साक्षात् नारी नमुना थिई ऊ।
अनि त उसको घरमा ईश्‍वरको बास थियो र त्यो सानो घर स्वर्ग समान थियो।,अनि त उस्‌को घर्‌मा ईश्‍वर्‌को बास् थियो र त्यो सानो घर् स्वर्ग समान् थियो।
साँझ झर्दै थियो पृथिवीमा।,साँझ झर्दै थियो पृथिवीमा।
"सूर्यले सन्ध्याको काखमा आफ्नो दिव्य, चम्किलो मुहार लुकाइसकेका थिए।","सूर्यले सन्ध्याको काख्‌मा आफ्नो दिव्य, चम्किलो मुहार् लुकाइसकेका थिए।"
सन्ध्याले पृथिवीलाई अँगालेर मितेरी गाँस्दै थिइन्।,सन्ध्याले पृथिवीलाई अँगालेर मितेरी गाँस्दै थिइन्।
मनमोहक शीतल पवनको सुस्त बहाइमा आएको फुलको सुगन्धले मृदुल बनायो विमलालाई।,मन्‌मोहक् शीतल् पवन्‌को सुस्त बहाइमा आएको फुल्‌को सुगन्धले मृदुल् बनायो विमलालाई।
पेट असाध्यै दुख्न थाल्यो।,पेट् असाध्यै दुख्न थाल्यो।
आँखाबाट आँसु झार्दै बोली ऊ।,आँखाबाट आँसु झार्दै बोली ऊ।
एकै क्षणमा एउटी महिलालाई लिएर आइपुगे उनी।,एकै क्षण्‌मा एउटी महिलालाई लिएर आइपुगे उनी।
धेरै बेरको प्रयत्नमा उसले एउटा बच्‍‌चा जन्माई।,धेरै बेर्‌को प्रयत्नमा उस्‌ले एउटा बच्‍‌चा जन्माई।
श्याम खुसीले रमायो।,श्याम् खुसीले रमायो।
उसैको इच्छा अनुरूप नै लक्ष्मीले पदार्पण गरेकी थिई उसैको घरमा।,उसैको इच्छा अनुरूप् नै लक्ष्मीले पदार्पण् गरेकी थिई उसैको घर्‌मा।
छोरीको चाहना अगाडिदेखि नै गरेको थियो उसले।,छोरीको चाहना अगाडिदेखि नै गरेको थियो उस्‌ले।
त्यसपछि त झन् बिमला र श्यामको बिचमा खुसी र आनन्दको अथाह सागर नै उर्लियो। ,त्यस्‌पछि त झन् बिमला र श्याम्‌को बिच्‌मा खुसी र आनन्दको अथाह् सागर् नै उर्लियो। 
त्यो सानो सुखी स्वर्गमा छोरीले उन्मुक्‍त खुसी र हर्षको वर्षा गराइदिई।,त्यो सानो सुखी स्वर्गमा छोरीले उन्मुक्‍त खुसी र हर्षको वर्षा गराइदिई।
तपाईँ जस्तो महान् सोचाइ भएको व्यक्‍ति पाउनु त हाम्रो भाग्य हो।,तपाईँ जस्तो महान् सोचाइ भएको व्यक्‍ति पाउनु त हाम्रो भाग्य हो।
मलाई आशा छ तपाईँबाट हाम्रा विद्यार्थीले धेरै धेरै नयाँ कुराहरू सिक्न पाउनेछन्।,मलाई आशा छ तपाईँबाट हाम्रा विद्यार्थीले धेरै धेरै नयाँ कुराहरू सिक्न पाउनेछन्।
उठ्नुस् कमल सर!,उठ्नुस् कमल् सर्!
"अब खाना खाएर तयार हुनुहोस्, स्कुलको समय पनि हुन लाग्यो अब त","अब् खाना खाएर तयार् हुनुहोस्, स्कुल्‌को समय् पनि हुन लाग्यो अब त"
यति भनेर कमल उठ्‌यो र खाना खान आफ्नो निर्दिष्ट स्थानतिर लाग्यो।,यति भनेर कमल् उठ्‌यो र खाना खान आफ्नो निर्दिष्ट स्थान्‌तिर लाग्यो।
कमल हिजो अपराह्नतिर त्यस गाउँमा आइपुगेको थियो।,कमल् हिजो अपराह्नतिर त्यस् गाउँमा आइपुगेको थियो।
आउँदा आउँदै बाटैमा स्कुल अध्यक्षले बस्ने व्यवस्था मिलाइदिएका थिए आफ्नै खाली घरमा।,आउँदा आउँदै बाटैमा स्कुल् अध्यक्षले बस्ने व्यवस्था मिलाइदिएका थिए आफ्नै खाली घर्‌मा।
अहिले उ त्यै घरमा खाना खाँदैथियो।,अहिले उ त्यै घर्‌मा खाना खाँदैथियो।
खाना खाएर ऊ तयारी भयो स्कुल जान।,खाना खाएर ऊ तयारी भयो स्कुल् जान।
उसको त्यो रूप बढो आकर्षक देखिएको थियो।,उस्‌को त्यो रूप् बढो आकर्षक् देखिएको थियो।
ऊ साँच्‍चै कुनै चलचित्रको नायकभन्दा पनि प्रभावशाली व्यक्‍तित्वको धनी थियो।,ऊ साँच्‍चै कुनै चल्चित्रको नायक्‌भन्दा पनि प्रभाव्‌शाली व्यक्‍तित्वको धनी थियो।
जीवन सरको साथ लागेर ऊ स्कुल पुग्यो।,जीवन् सर्‌को साथ् लागेर ऊ स्कुल् पुग्यो।
त्यो स्कुलमा सात कक्षासम्म त रहेछ तर विद्यार्थी सङ्‍ख्या चै साह्रै न्यून।,त्यो स्कुल्‌मा सात् कक्षासम्म त रहेछ तर विद्यार्थी सङ्‍ख्या चै साह्रै न्यून्।
"पहाडी स्कुल, केटाकेटीहरू पढ्नभन्दा बढी घरायसी काममा नै अल्‍झिएको हुन्थे।","पहाडी स्कुल्, केटाकेटीहरू पढ्नभन्दा बढी घरायसी काम्‌मा नै अल्‍झिएको हुन्थे।"
हरेक कक्षा कोठामा बीस पच्‍चीसजनाभन्दा बढी विद्यार्थी थिएनन्।,हरेक् कक्षा कोठामा बीस् पच्‍चीस्‌जनाभन्दा बढी विद्यार्थी थिएनन्।
अपराह्न चार बजे स्कुल छुट्‍टी भयो। ,अपराह्न चार् बजे स्कुल् छुट्‍टी भयो। 
सबै- आ-आफ्नो वासस्थानतिर गए।,सबै- आ-आफ्नो वास्‌स्थान्‌तिर गए।
"कमल पनि गयो आफ्नो वासस्थानतिर, उसको साथमा मोहन पनि थियो।","कमल् पनि गयो आफ्नो वास्‌स्थान्‌तिर, उस्‌को साथ्‌मा मोहन् पनि थियो।"
सन्ध्याले पाइला टेकी धरती माताको फाँटिलो छातीमा।,सन्ध्याले पाइला टेकी धर्‌ती माताको फाँटिलो छातीमा।
त्यो बसन्त ऋतुको बेला साँझपख बहने शीतल पवनले रुख पातहरू हल्‍लिए सर्रर सर्रर।,त्यो बसन्त ऋतुको बेला साँझपख बहने शीतल् पवन्‌ले रुख् पात्‌हरू हल्‍लिए सर्रर् सर्रर्।
प्रकृतिको त्यस अपार साम्राज्यमा निस्तब्धता छायो एकदमसँग।,प्रकृतिको त्यस् अपार् साम्राज्यमा निस्तब्धता छायो एक्‌दम्‌सँग।
त्यस निस्तब्धतामा रुमल्‍लिएको कमल क्षणभर त्यसै त्यसै टोलायो।,त्यस् निस्तब्धतामा रुमल्‍लिएको कमल् क्षण्‌भर् त्यसै त्यसै टोलायो।
उसको मन र मस्तिष्कको अनन्त नील गगनमा उडिरहेको थियो एकदम स्वच्छन्दपूर्वक।,उस्‌को मन् र मस्तिष्कको अनन्त नील् गगन्‌मा उडिरहेको थियो एक्‌दम् स्वच्छन्दपूर्वक्।
सूर्यले अस्ताचलमा आफूलाई लुकाइसकेको थियो अघि नै।,सूर्यले अस्ताचल्‌मा आफूलाई लुकाइसकेको थियो अघि नै।
सन्ध्याको कालो रङ पोतिदैँ थियो क्षितिजसम्मै।,सन्ध्याको कालो रङ पोतिदैँ थियो क्षितिज्‌सम्मै।
कमल अन्यमनस्क भावमा त्यसै त्यसै टोलाइरहेको थियो।,कमल् अन्यमनस्क् भाव्‌मा त्यसै त्यसै टोलाइरहेको थियो।
मनको वह बिसाउन सक्ने आत्मीयता कोही छैन।,मन्‌को वह बिसाउन सक्ने आत्मीयता कोही छैन।
उसको मनमा छट्पटी भयो।,उस्‌को मन्‌मा छट्पटी भयो।
त्यसै बेला सन्ध्याको धमिलोपनलाई चिरेर त्यो निलो अनन्त गगनको मध्यपृष्ठमा जुनले चियाइदियो।,त्यसै बेला सन्ध्याको धमिलोपन्‌लाई चिरेर त्यो निलो अनन्त गगन्‌को मध्यपृष्ठमा जुन्‌ले चियाइदियो।
जुनसँग मितेरीको साइनो लगाएर ताराहरू आफ्नै मधुरो प्रकाश- पुञ्‍जलाई पृथिवीसम्म पुर्‍याउन तँछाडमछाड गर्न थाले।,जुन्‌सँग मितेरीको साइनो लगाएर ताराहरू आफ्नै मधुरो प्रकाश्- पुञ्‍जलाई पृथिवीसम्म पुर्‍याउन तँछाड्‌मछाड् गर्न थाले।
आफ्नो जीवनको अविस्मरणीय अतीत बाँसुरीमा गुन्जायो उसले।,आफ्नो जीवन्‌को अविस्मरणीय अतीत् बाँसुरीमा गुन्जायो उस्‌ले।
साँझपख गुन्जिएको उसको बाँसुरीको वेदनायुक्‍त रोदनीय ध्वनिले पुरै गाँउ नै स्तब्ध बनायो।,साँझपख गुन्जिएको उस्‌को बाँसुरीको वेदनायुक्‍त रोदनीय ध्वनिले पुरै गाँउ नै स्तब्ध बनायो।
गाउँलेका सहस्र कानलाई आफूतिर खिच्यो बाँसुरी धुनले।,गाउँलेका सहस्र कान्‌लाई आफूतिर खिच्यो बाँसुरी धुन्‌ले।
सबै मन्त्रमुग्ध भएर सुन्‍न थाले घर घरबाटै त्यो मनमोहक मिठो तर दर्दनाक बाँसुरीको रोदन।,सबै मन्त्रमुग्ध भएर सुन्‍न थाले घर् घर्‌बाटै त्यो मन्‌मोहक् मिठो तर दर्दनाक् बाँसुरीको रोदन्।
रात छिप्पिदै गयो।,रात् छिप्पिदै गयो।
सायद कोइलीहरूले गीत गाउन बिर्सेका थिए त्यस बेला।,सायद् कोइलीहरूले गीत् गाउन बिर्सेका थिए त्यस् बेला।
आकाशभरि छरपस्ट भएर छरिएका बादल- पुञ्‍जहरूले थोप्न नसकेका असङ्‍ख्य ताराहरू एकतमासले चम्किरहेका थिए।,आकाश्‌भरि छरपस्ट भएर छरिएका बादल्- पुञ्‍जहरूले थोप्न नसकेका असङ्‍ख्य ताराहरू एक्‌तमास्‌ले चम्किरहेका थिए।
बादल- पुञ्‍जहरूले जुनको उज्यालोलाई चैँ बेलाबेला छोपिदिन्थ्यो।,बादल्- पुञ्‍जहरूले जुन्‌को उज्यालोलाई चैँ बेलाबेला छोपिदिन्थ्यो।
रात सुनसान र चकमन्‍न थियो।,रात् सुन्‌सान् र चकमन्‍न थियो।
चिसो ढुङ्‌गामाथि बसेर उसले बाँसुरी बजाइरह्‌यो।,चिसो ढुङ्‌गामाथि बसेर उस्‌ले बाँसुरी बजाइरह्‌यो।
त्यो बाँसुरीको धुनले गाउँलेहरूको नौनीजस्तो कोमल मुटुलाई खुब पगाल्यो।,त्यो बाँसुरीको धुन्‌ले गाउँलेहरूको नौनीजस्तो कोमल् मुटुलाई खुब् पगाल्यो।
चन्द्रमा पनि सायद रुँदै थियो होला शीतरूपी आँसु पोख्दैथियो रुखपातमा।,चन्द्रमा पनि सायद् रुँदै थियो होला शीत्‌रूपी आँसु पोख्दैथियो रुख्‌पात्‌मा।
"सायद भोक र तिर्खाले ऊ थाक्यो होला, त्यसैले गयो उठेर वासस्थानतिर।","सायद् भोक् र तिर्खाले ऊ थाक्यो होला, त्यसैले गयो उठेर वास्‌स्थान्‌तिर।"
साँच्‍चै नै खुसी सबैलाई नपुग्दो रहेछ। ,साँच्‍चै नै खुसी सबैलाई नपुग्दो रहेछ। 
परमेश्‍वरले सबै कुरा एकैजनालाई दिन सायद चाहँदैन रहेछन्।,पर्‌मेश्‍वर्‌ले सबै कुरा एकैजनालाई दिन सायद् चाहँदैन रहेछन्।
